Transaction Date,ATM Name,No Of Withdrawals,Amount withdrawn Card,Amount withdrawn Other Card,Total amount Withdrawn
2018-04-03,Big Street ATM,99,1040850,750600,1791450
2018-04-04,Big Street ATM,70,251330,883580,1134910
2018-04-05,Big Street ATM,60,575550,771970,1347520
2018-04-06,Big Street ATM,106,885800,670000,1555800
2018-04-07,Big Street ATM,99,596630,971930,1568560
2018-04-08,Big Street ATM,107,827110,1214320,2041430
2018-04-09,Big Street ATM,107,735680,1268190,2003870
2018-04-10,Big Street ATM,77,650430,620100,1270530
2018-04-11,Big Street ATM,91,716040,970650,1686690
2018-04-12,Big Street ATM,116,415950,909310,1325260
2018-04-13,Big Street ATM,112,844830,1188900,2033730
2018-04-14,Big Street ATM,121,572670,996300,1568970
2018-04-15,Big Street ATM,97,716440,925200,1641640
2018-04-16,Big Street ATM,106,792580,896850,1689430
2018-04-17,Big Street ATM,83,647600,446400,1094000
2018-04-18,Big Street ATM,102,402980,884700,1287680
2018-04-19,Big Street ATM,68,550800,557550,1108350
2018-04-20,Big Street ATM,93,834300,769500,1603800
2018-04-21,Big Street ATM,119,1372950,1165500,2538450
2018-04-22,Big Street ATM,121,1188680,887850,2076530
2018-04-23,Big Street ATM,94,644760,1002600,1647360
2018-04-24,Big Street ATM,130,962680,1053000,2015680
2018-04-25,Big Street ATM,117,899910,1056600,1956510
2018-04-26,Big Street ATM,29,277020,246600,523620
2018-04-27,Big Street ATM,98,834300,422100,1256400
2018-04-28,Big Street ATM,81,709960,576000,1285960
2018-04-29,Big Street ATM,126,986180,1131750,2117930
2018-04-30,Big Street ATM,116,758160,1254150,2012310
2018-05-01,Big Street ATM,116,430520,1423800,1854320
2018-05-02,Big Street ATM,144,921780,1363950,2285730
2018-05-03,Big Street ATM,105,810400,1052100,1862500
2018-05-04,Big Street ATM,97,480530,1322060,1802590
2018-05-05,Big Street ATM,78,434450,993240,1427690
2018-05-06,Big Street ATM,122,636590,1177470,1814060
2018-05-07,Big Street ATM,117,874310,1325840,2200150
2018-05-08,Big Street ATM,134,625120,1291340,1916460
2018-05-09,Big Street ATM,137,759500,1471360,2230860
2018-05-10,Big Street ATM,161,648000,1660050,2308050
2018-05-11,Big Street ATM,117,898700,1162350,2061050
2018-05-12,Big Street ATM,114,720790,878450,1599240
2018-05-13,Big Street ATM,90,646780,1132650,1779430
2018-05-14,Big Street ATM,88,187110,831150,1018260
2018-05-15,Big Street ATM,108,732640,707850,1440490
2018-05-16,Big Street ATM,93,603450,607500,1210950
2018-05-17,Big Street ATM,61,346280,399600,745880
2018-05-18,Big Street ATM,32,511920,11700,523620
2018-05-19,Big Street ATM,11,198450,1800,200250
2018-05-20,Big Street ATM,61,738720,382950,1121670
2018-05-21,Big Street ATM,100,885330,568800,1454130
2018-05-22,Big Street ATM,102,467370,694350,1161720
2018-05-23,Big Street ATM,108,846860,677700,1524560
2018-05-24,Big Street ATM,110,483570,921150,1404720
2018-05-25,Big Street ATM,113,746010,646200,1392210
2018-05-26,Big Street ATM,102,587250,498600,1085850
2018-05-27,Big Street ATM,113,553640,1264050,1817690
2018-05-28,Big Street ATM,81,655700,630900,1286600
2018-05-29,Big Street ATM,89,686480,661500,1347980
2018-05-30,Big Street ATM,118,406620,848700,1255320
2018-05-31,Big Street ATM,40,101660,571500,673160
2018-06-01,Big Street ATM,142,537440,1182600,1720040
2018-06-02,Big Street ATM,69,425660,597600,1023260
2018-06-03,Big Street ATM,116,562540,1240200,1802740
2018-06-04,Big Street ATM,103,625550,1215740,1841290
2018-06-05,Big Street ATM,95,392490,1217490,1609980
2018-06-06,Big Street ATM,136,486070,1420340,1906410
2018-06-07,Big Street ATM,116,331280,1622090,1953370
2018-06-08,Big Street ATM,119,445660,1491680,1937340
2018-06-09,Big Street ATM,139,586840,1796440,2383280
2018-06-10,Big Street ATM,139,763020,1389150,2152170
2018-06-11,Big Street ATM,101,628160,1206900,1835060
2018-06-12,Big Street ATM,120,452130,1142020,1594150
2018-06-13,Big Street ATM,107,825800,928350,1754150
2018-06-14,Big Street ATM,105,541080,1092150,1633230
2018-06-15,Big Street ATM,109,924620,753300,1677920
2018-06-16,Big Street ATM,85,616000,761400,1377400
2018-06-17,Big Street ATM,90,711990,624150,1336140
2018-06-18,Big Street ATM,37,443480,285750,729230
2018-06-19,Big Street ATM,92,941620,537300,1478920
2018-06-20,Big Street ATM,91,817290,707850,1525140
2018-06-21,Big Street ATM,113,641520,796950,1438470
2018-06-22,Big Street ATM,118,990630,905850,1896480
2018-06-23,Big Street ATM,90,810810,727200,1538010
2018-06-24,Big Street ATM,99,771930,963900,1735830
2018-06-25,Big Street ATM,121,686070,1293300,1979370
2018-06-26,Big Street ATM,101,487620,632700,1120320
2018-06-27,Big Street ATM,143,525280,1197000,1722280
2018-06-28,Big Street ATM,135,726160,992700,1718860
2018-06-29,Big Street ATM,111,1027080,732600,1759680
2018-06-30,Big Street ATM,119,513540,1295550,1809090
2018-07-01,Big Street ATM,172,1341360,1862550,3203910
2018-07-02,Big Street ATM,88,680800,726300,1407100
2018-07-03,Big Street ATM,121,518800,1296900,1815700
2018-07-04,Big Street ATM,136,978500,1425060,2403560
2018-07-05,Big Street ATM,150,406330,1694760,2101090
2018-07-06,Big Street ATM,87,493710,616140,1109850
2018-07-07,Big Street ATM,102,507750,823100,1330850
2018-07-08,Big Street ATM,129,813080,1419860,2232940
2018-07-09,Big Street ATM,106,1164330,907200,2071530
2018-07-10,Big Street ATM,108,988200,809100,1797300
2018-07-11,Big Street ATM,124,510300,1379700,1890000
2018-07-12,Big Street ATM,144,584090,1408440,1992530
2018-07-13,Big Street ATM,126,595760,975600,1571360
2018-07-14,Big Street ATM,110,539860,799200,1339060
2018-07-15,Big Street ATM,112,657720,907200,1564920
2018-07-16,Big Street ATM,122,796230,1233450,2029680
2018-07-17,Big Street ATM,112,811620,611550,1423170
2018-07-18,Big Street ATM,113,354380,629100,983480
2018-07-19,Big Street ATM,127,605480,806850,1412330
2018-07-20,Big Street ATM,80,915300,659250,1574550
2018-07-21,Big Street ATM,91,274590,650700,925290
2018-07-22,Big Street ATM,108,690120,724950,1415070
2018-07-23,Big Street ATM,144,980100,1341000,2321100
2018-07-24,Big Street ATM,98,679590,770850,1450440
2018-07-25,Big Street ATM,111,627340,620100,1247440
2018-07-26,Big Street ATM,149,815260,1117800,1933060
2018-07-27,Big Street ATM,118,829440,881100,1710540
2018-07-28,Big Street ATM,109,747220,616050,1363270
2018-07-29,Big Street ATM,78,415530,496350,911880
2018-07-30,Big Street ATM,117,929070,732600,1661670
2018-07-31,Big Street ATM,150,726570,1757250,2483820
2018-08-01,Big Street ATM,177,797040,2280600,3077640
2018-08-02,Big Street ATM,125,800280,1323900,2124180
2018-08-03,Big Street ATM,93,592520,911250,1503770
2018-08-04,Big Street ATM,113,1047820,1325840,2373660
2018-08-05,Big Street ATM,140,792110,1515160,2307270
2018-08-06,Big Street ATM,134,907480,988000,1895480
2018-08-07,Big Street ATM,111,989980,1043280,2033260
2018-08-08,Big Street ATM,128,843700,1808730,2652430
2018-08-09,Big Street ATM,150,1517290,1193540,2710830
2018-08-10,Big Street ATM,131,916520,836100,1752620
2018-08-11,Big Street ATM,148,1076080,1246950,2323030
2018-08-12,Big Street ATM,131,808510,1048210,1856720
2018-08-13,Big Street ATM,95,681210,643050,1324260
2018-08-14,Big Street ATM,116,634640,1023750,1658390
2018-08-15,Big Street ATM,112,589280,1256400,1845680
2018-08-16,Big Street ATM,142,722520,1147950,1870470
2018-08-17,Big Street ATM,140,929070,1111950,2041020
2018-08-18,Big Street ATM,126,844020,1173600,2017620
2018-08-19,Big Street ATM,132,1108080,986850,2094930
2018-08-20,Big Street ATM,132,1102820,1126800,2229620
2018-08-21,Big Street ATM,112,622480,797400,1419880
2018-08-22,Big Street ATM,112,810000,796500,1606500
2018-08-23,Big Street ATM,151,316710,1003050,1319760
2018-08-24,Big Street ATM,85,573480,625950,1199430
2018-08-25,Big Street ATM,106,878850,594900,1473750
2018-08-26,Big Street ATM,83,672700,474750,1147450
2018-08-27,Big Street ATM,122,279860,1299150,1579010
2018-08-28,Big Street ATM,122,1115780,724050,1839830
2018-08-29,Big Street ATM,161,1183820,1647000,2830820
2018-08-30,Big Street ATM,126,360860,1087650,1448510
2018-08-31,Big Street ATM,118,182250,1524150,1706400
2018-09-01,Big Street ATM,135,824130,1409040,2233170
2018-09-02,Big Street ATM,143,855680,1479580,2335260
2018-09-03,Big Street ATM,126,876460,1378260,2254720
2018-09-04,Big Street ATM,116,632640,1333160,1965800
2018-09-05,Big Street ATM,156,551440,1248990,1800430
2018-09-06,Big Street ATM,118,461350,1170220,1631570
2018-09-07,Big Street ATM,122,937650,1193560,2131210
2018-09-08,Big Street ATM,105,806760,873510,1680270
2018-09-09,Big Street ATM,136,441550,1456150,1897700
2018-09-10,Big Street ATM,127,1428190,893480,2321670
2018-09-11,Big Street ATM,136,1146560,1084570,2231130
2018-09-12,Big Street ATM,155,605920,1179830,1785750
2018-09-13,Big Street ATM,136,652920,1203840,1856760
2018-09-14,Big Street ATM,87,1014580,752830,1767410
2018-09-15,Big Street ATM,113,476710,1132450,1609160
2018-09-16,Big Street ATM,150,893390,1585600,2478990
2018-09-17,Big Street ATM,124,493250,1132450,1625700
2018-09-18,Big Street ATM,123,788350,857990,1646340
2018-09-19,Big Street ATM,138,629070,1347910,1976980
2018-09-20,Big Street ATM,127,1090770,961020,2051790
2018-09-21,Big Street ATM,107,816050,1011460,1827510
2018-09-22,Big Street ATM,82,878770,614740,1493510
2018-09-23,Big Street ATM,114,398220,1102950,1501170
2018-09-24,Big Street ATM,128,1016120,922120,1938240
2018-09-25,Big Street ATM,112,474390,857990,1332380
2018-09-26,Big Street ATM,106,710250,514280,1224530
2018-09-27,Big Street ATM,117,381290,965300,1346590
2018-09-28,Big Street ATM,82,734100,563870,1297970
2018-09-29,Big Street ATM,131,973030,1368000,2341030
2018-09-30,Big Street ATM,141,812970,1450080,2263050
2018-10-01,Big Street ATM,161,1354860,2020320,3375180
2018-10-02,Big Street ATM,109,617110,1180420,1797530
2018-10-03,Big Street ATM,122,291090,1626500,1917590
2018-10-04,Big Street ATM,100,880750,1145430,2026180
2018-10-05,Big Street ATM,129,1320690,1610070,2930760
2018-10-06,Big Street ATM,115,874880,1569270,2444150
2018-10-07,Big Street ATM,78,618140,1363870,1982010
2018-10-08,Big Street ATM,135,1073440,1639900,2713340
2018-10-09,Big Street ATM,117,1006440,917220,1923660
2018-10-10,Big Street ATM,176,1252870,2107260,3360130
2018-10-11,Big Street ATM,125,537000,1331010,1868010
2018-10-12,Big Street ATM,119,1106330,1178350,2284680
2018-10-13,Big Street ATM,122,471340,1043280,1514620
2018-10-14,Big Street ATM,121,1158790,1006020,2164810
2018-10-15,Big Street ATM,141,1173690,1575790,2749480
2018-10-16,Big Street ATM,95,713990,889580,1603570
2018-10-17,Big Street ATM,141,1104300,1239930,2344230
2018-10-18,Big Street ATM,148,933820,1284440,2218260
2018-10-19,Big Street ATM,119,951530,1074330,2025860
2018-10-20,Big Street ATM,116,1136430,1223370,2359800
2018-10-21,Big Street ATM,121,974810,859570,1834380
2018-10-22,Big Street ATM,121,566810,854910,1421720
2018-10-23,Big Street ATM,98,577990,556310,1134300
2018-10-24,Big Street ATM,129,524430,1366720,1891150
2018-10-25,Big Street ATM,126,546790,1457280,2004070
2018-10-26,Big Street ATM,135,851390,1479530,2330920
2018-10-27,Big Street ATM,124,613390,1118320,1731710
2018-10-28,Big Street ATM,134,1370240,1382240,2752480
2018-10-29,Big Street ATM,135,1105690,1599070,2704760
2018-10-30,Big Street ATM,122,1182070,1008090,2190160
2018-10-31,Big Street ATM,202,1339040,3113280,4452320
2018-11-01,Big Street ATM,164,1056800,1815420,2872220
2018-11-02,Big Street ATM,168,1274930,2346290,3621220
2018-11-03,Big Street ATM,153,1015720,1607300,2623020
2018-11-04,Big Street ATM,143,1438280,1922730,3361010
2018-11-05,Big Street ATM,140,1200720,1834950,3035670
2018-11-06,Big Street ATM,170,1990280,2265630,4255910
2018-11-07,Big Street ATM,151,689100,1870810,2559910
2018-11-08,Big Street ATM,176,740970,2619370,3360340
2018-11-09,Big Street ATM,145,705530,2370610,3076140
2018-11-10,Big Street ATM,180,2450570,2040920,4491490
2018-11-11,Big Street ATM,157,608360,1627410,2235770
2018-11-12,Big Street ATM,109,718960,989130,1708090
2018-11-13,Big Street ATM,69,466050,477630,943680
2018-11-14,Big Street ATM,157,1011330,1882790,2894120
2018-11-15,Big Street ATM,125,1311100,1220420,2531520
2018-11-16,Big Street ATM,118,1520410,896570,2416980
2018-11-17,Big Street ATM,154,1697940,1733910,3431850
2018-11-18,Big Street ATM,117,796150,1101420,1897570
2018-11-19,Big Street ATM,123,976600,900370,1876970
2018-11-20,Big Street ATM,121,1996250,925910,2922160
2018-11-21,Big Street ATM,140,1093970,1244870,2338840
2018-11-22,Big Street ATM,112,589780,1249220,1839000
2018-11-23,Big Street ATM,119,737470,875920,1613390
2018-11-24,Big Street ATM,135,736000,1614910,2350910
2018-11-25,Big Street ATM,146,851900,1457330,2309230
2018-11-26,Big Street ATM,146,2104820,756380,2861200
2018-11-27,Big Street ATM,143,1577630,1047630,2625260
2018-11-28,Big Street ATM,129,725730,1111200,1836930
2018-11-29,Big Street ATM,145,769740,1222050,1991790
2018-11-30,Big Street ATM,149,1720430,1408970,3129400
2018-12-01,Big Street ATM,181,1386870,1990950,3377820
2018-12-02,Big Street ATM,148,1138610,1802920,2941530
2018-12-03,Big Street ATM,148,542070,2186920,2728990
2018-12-04,Big Street ATM,133,1103640,1369010,2472650
2018-12-05,Big Street ATM,132,827520,1608110,2435630
2018-12-06,Big Street ATM,163,628710,1872230,2500940
2018-12-07,Big Street ATM,140,1138800,1416410,2555210
2018-12-08,Big Street ATM,160,981270,1882640,2863910
2018-12-09,Big Street ATM,118,923610,1134070,2057680
2018-12-10,Big Street ATM,141,1215860,1216500,2432360
2018-12-11,Big Street ATM,129,1288180,1395100,2683280
2018-12-12,Big Street ATM,142,1118660,957740,2076400
2018-12-13,Big Street ATM,157,630920,2265800,2896720
2018-12-14,Big Street ATM,137,1233720,1360870,2594590
2018-12-15,Big Street ATM,104,880960,887070,1768030
2018-12-16,Big Street ATM,143,896160,1679380,2575540
2018-12-17,Big Street ATM,112,954190,992250,1946440
2018-12-18,Big Street ATM,116,488940,866230,1355170
2018-12-19,Big Street ATM,121,1131910,944120,2076030
2018-12-20,Big Street ATM,149,675570,1265610,1941180
2018-12-21,Big Street ATM,145,1051090,1425860,2476950
2018-12-22,Big Street ATM,144,879180,1478450,2357630
2018-12-23,Big Street ATM,144,1141280,1603970,2745250
2018-12-24,Big Street ATM,122,1063140,1284960,2348100
2018-12-25,Big Street ATM,73,588500,508530,1097030
2018-12-26,Big Street ATM,77,258980,866730,1125710
2018-12-27,Big Street ATM,134,507240,1300340,1807580
2018-12-28,Big Street ATM,122,560820,1452650,2013470
2018-12-29,Big Street ATM,135,805510,1555850,2361360
2018-12-30,Big Street ATM,128,1125210,1178300,2303510
2018-12-31,Big Street ATM,156,696120,1695760,2391880
2019-01-01,Big Street ATM,155,1108480,1754550,2863030
2019-01-02,Big Street ATM,67,400950,931050,1332000
2019-01-03,Big Street ATM,51,449960,512100,962060
2019-01-04,Big Street ATM,115,716540,1407580,2124120
2019-01-05,Big Street ATM,122,1162720,1734450,2897170
2019-01-06,Big Street ATM,143,1159660,1530430,2690090
2019-01-07,Big Street ATM,131,948310,1283780,2232090
2019-01-08,Big Street ATM,85,792670,965320,1757990
2019-01-09,Big Street ATM,149,1170290,1428840,2599130
2019-01-10,Big Street ATM,171,475060,2379600,2854660
2019-01-11,Big Street ATM,131,726570,1098900,1825470
2019-01-12,Big Street ATM,124,795360,971040,1766400
2019-01-13,Big Street ATM,104,742360,1189350,1931710
2019-01-14,Big Street ATM,127,609520,1420650,2030170
2019-01-15,Big Street ATM,130,882500,928800,1811300
2019-01-16,Big Street ATM,117,519620,1129950,1649570
2019-01-17,Big Street ATM,118,620860,904950,1525810
2019-01-18,Big Street ATM,129,599800,1164600,1764400
2019-01-19,Big Street ATM,115,933930,585900,1519830
2019-01-20,Big Street ATM,55,703080,439650,1142730
2019-01-21,Big Street ATM,73,339390,425250,764640
2019-01-22,Big Street ATM,132,1066360,830700,1897060
2019-01-23,Big Street ATM,123,486400,935100,1421500
2019-01-24,Big Street ATM,42,79380,135000,214380
2019-01-25,Big Street ATM,86,617220,730800,1348020
2019-01-26,Big Street ATM,46,174150,140400,314550
2019-01-27,Big Street ATM,68,346680,489150,835830
2019-01-28,Big Street ATM,122,426460,932400,1358860
2019-01-29,Big Street ATM,124,731430,1213200,1944630
2019-01-30,Big Street ATM,162,1082160,1578150,2660310
2019-01-31,Big Street ATM,174,1453950,1948500,3402450
2019-02-01,Big Street ATM,166,583200,2205450,2788650
2019-02-02,Big Street ATM,132,380300,1489950,1870250
2019-02-03,Big Street ATM,160,739530,1744650,2484180
2019-02-04,Big Street ATM,134,1271500,1368360,2639860
2019-02-05,Big Street ATM,152,812210,1918020,2730230
2019-02-06,Big Street ATM,84,191360,1181720,1373080
2019-02-07,Big Street ATM,69,229640,821200,1050840
2019-02-08,Big Street ATM,70,422700,723870,1146570
2019-02-09,Big Street ATM,77,674020,756470,1430490
2019-02-10,Big Street ATM,161,924210,1565100,2489310
2019-02-11,Big Street ATM,150,1236460,1408950,2645410
2019-02-12,Big Street ATM,151,1136370,1058360,2194730
2019-02-13,Big Street ATM,129,891810,1073250,1965060
2019-02-14,Big Street ATM,166,994680,1402650,2397330
2019-02-15,Big Street ATM,155,1329620,1544400,2874020
2019-02-16,Big Street ATM,107,769900,911250,1681150
2019-02-17,Big Street ATM,134,988200,552150,1540350
2019-02-18,Big Street ATM,147,1305320,1465200,2770520
2019-02-19,Big Street ATM,144,646380,1242000,1888380
2019-02-20,Big Street ATM,147,509490,1841850,2351340
2019-02-21,Big Street ATM,181,914490,1919700,2834190
2019-02-22,Big Street ATM,130,929070,769050,1698120
2019-02-23,Big Street ATM,165,1666580,1148400,2814980
2019-02-24,Big Street ATM,121,816080,891900,1707980
2019-02-25,Big Street ATM,136,650840,1230750,1881590
2019-02-26,Big Street ATM,135,1414660,1091250,2505910
2019-02-27,Big Street ATM,141,986580,1277550,2264130
2019-02-28,Big Street ATM,150,858200,1161900,2020100
2019-02-28,Big Street ATM,142,1321920,1378800,2700720
2019-03-01,Big Street ATM,169,890190,2007000,2897190
2019-03-02,Big Street ATM,97,537030,1216350,1753380
2019-03-03,Big Street ATM,116,871560,1215900,2087460
2019-03-04,Big Street ATM,113,640430,918540,1558970
2019-03-05,Big Street ATM,168,1172990,1815820,2988810
2019-03-06,Big Street ATM,156,1211530,1461920,2673450
2019-03-07,Big Street ATM,134,389530,1529480,1919010
2019-03-08,Big Street ATM,109,1015080,1137310,2152390
2019-03-09,Big Street ATM,152,1095020,1472310,2567330
2019-03-10,Big Street ATM,171,1872720,2086650,3959370
2019-03-11,Big Street ATM,161,1016140,1425150,2441290
2019-03-12,Big Street ATM,165,576780,1574550,2151330
2019-03-13,Big Street ATM,152,925830,1193400,2119230
2019-03-14,Big Street ATM,135,916110,1028250,1944360
2019-03-15,Big Street ATM,140,869940,1646550,2516490
2019-03-16,Big Street ATM,130,899500,1256850,2156350
2019-03-17,Big Street ATM,117,940820,746100,1686920
2019-03-18,Big Street ATM,119,1130360,729450,1859810
2019-03-19,Big Street ATM,101,414720,767700,1182420
2019-03-20,Big Street ATM,150,998320,1616400,2614720
2019-03-21,Big Street ATM,134,1323540,1042200,2365740
2019-03-22,Big Street ATM,127,952160,1045800,1997960
2019-03-23,Big Street ATM,143,667440,1300950,1968390
2019-03-24,Big Street ATM,26,17820,222300,240120
2019-03-25,Big Street ATM,99,225990,751950,977940
2019-03-26,Big Street ATM,124,579560,1087200,1666760
2019-03-27,Big Street ATM,105,343840,699300,1043140
2019-03-28,Big Street ATM,55,307400,437400,744800
2019-03-29,Big Street ATM,120,882900,930600,1813500
2019-03-30,Big Street ATM,38,80190,280800,360990
2019-03-31,Big Street ATM,105,733050,1108800,1841850
2019-04-01,Big Street ATM,94,553230,1245150,1798380
2019-04-02,Big Street ATM,35,32000,549000,581000
2019-04-03,Big Street ATM,90,624920,1066050,1690970
2019-04-04,Big Street ATM,111,551120,1658480,2209600
2019-04-05,Big Street ATM,121,621990,1725520,2347510
2019-04-06,Big Street ATM,134,1208130,1372140,2580270
2019-04-07,Big Street ATM,122,682520,1232280,1914800
2019-04-08,Big Street ATM,10,18710,29770,48480
2019-04-09,Big Street ATM,104,540500,1288980,1829480
2019-04-10,Big Street ATM,79,347490,592650,940140
2019-04-11,Big Street ATM,150,830660,1203750,2034410
2019-04-12,Big Street ATM,163,1232150,1198880,2431030
2019-04-13,Big Street ATM,142,1542640,1232550,2775190
2019-04-14,Big Street ATM,45,189140,440550,629690
2019-04-15,Big Street ATM,106,792580,896850,1689430
2019-04-16,Big Street ATM,112,867100,1073700,1940800
2019-04-17,Big Street ATM,118,554040,1080000,1634040
2019-04-18,Big Street ATM,152,1459620,1273050,2732670
2019-04-19,Big Street ATM,140,1083780,1119600,2203380
2019-04-20,Big Street ATM,133,987390,893250,1880640
2019-04-21,Big Street ATM,99,347490,857700,1205190
2019-04-22,Big Street ATM,134,992250,1363050,2355300
2019-04-23,Big Street ATM,132,761000,1170900,1931900
2019-04-24,Big Street ATM,23,112180,213750,325930
2019-04-25,Big Street ATM,49,571860,427050,998910
2019-04-26,Big Street ATM,125,1050570,806850,1857420
2019-04-27,Big Street ATM,133,568620,1084500,1653120
2019-04-28,Big Street ATM,100,605070,701100,1306170
2019-04-29,Big Street ATM,101,456840,870750,1327590
2019-04-30,Big Street ATM,135,996300,1116000,2112300
2019-05-01,Big Street ATM,144,921780,1363950,2285730
2019-05-02,Big Street ATM,96,1077300,582750,1660050
2019-05-03,Big Street ATM,102,721300,730350,1451650
2019-05-04,Big Street ATM,80,350830,1087220,1438050
2019-05-05,Big Street ATM,53,322380,697060,1019440
2019-05-06,Big Street ATM,68,473300,696940,1170240
2019-05-07,Big Street ATM,87,208800,1158570,1367370
2019-05-08,Big Street ATM,148,488190,1624460,2112650
2019-05-09,Big Street ATM,149,1238330,1469480,2707810
2019-05-10,Big Street ATM,150,1232010,1467000,2699010
2019-05-11,Big Street ATM,100,1081350,691200,1772550
2019-05-12,Big Street ATM,113,712750,504410,1217160
2019-05-13,Big Street ATM,106,443880,1083150,1527030
2019-05-14,Big Street ATM,110,672300,1170450,1842750
2019-05-15,Big Street ATM,86,421200,629550,1050750
2019-05-16,Big Street ATM,124,808780,1077300,1886080
2019-05-17,Big Street ATM,124,1465700,409500,1875200
2019-05-18,Big Street ATM,100,540270,1094850,1635120
2019-05-19,Big Street ATM,129,509900,1294200,1804100
2019-05-20,Big Street ATM,154,998730,1579500,2578230
2019-05-21,Big Street ATM,102,467370,694350,1161720
2019-05-22,Big Street ATM,51,476280,414450,890730
2019-05-23,Big Street ATM,89,724540,733950,1458490
2019-05-24,Big Street ATM,85,1215000,788400,2003400
2019-05-25,Big Street ATM,127,1005210,936900,1942110
2019-05-26,Big Street ATM,118,353970,1125900,1479870
2019-05-27,Big Street ATM,86,769900,590400,1360300
2019-05-28,Big Street ATM,79,588870,669600,1258470
2019-05-29,Big Street ATM,125,1104840,958500,2063340
2019-05-30,Big Street ATM,107,684450,1196550,1881000
2019-05-31,Big Street ATM,142,850900,1552050,2402950
2019-06-01,Big Street ATM,171,1046920,2422350,3469270
2019-06-02,Big Street ATM,157,704300,2494350,3198650
2019-06-03,Big Street ATM,167,1095930,1314900,2410830
2019-06-04,Big Street ATM,160,867090,2162630,3029720
2019-06-05,Big Street ATM,173,697000,2553060,3250060
2019-06-06,Big Street ATM,150,1087790,1756280,2844070
2019-06-07,Big Street ATM,127,648080,1589490,2237570
2019-06-08,Big Street ATM,163,1114160,2055850,3170010
2019-06-09,Big Street ATM,167,1246830,1933470,3180300
2019-06-10,Big Street ATM,115,590080,1198350,1788430
2019-06-11,Big Street ATM,96,487220,1060200,1547420
2019-06-12,Big Street ATM,121,695940,1003530,1699470
2019-06-13,Big Street ATM,124,982940,850950,1833890
2019-06-14,Big Street ATM,104,1124280,713700,1837980
2019-06-15,Big Street ATM,131,796230,1362150,2158380
2019-06-16,Big Street ATM,117,636660,1030500,1667160
2019-06-17,Big Street ATM,114,428080,1195200,1623280
2019-06-18,Big Street ATM,119,434970,924750,1359720
2019-06-19,Big Street ATM,127,233280,1398600,1631880
2019-06-20,Big Street ATM,103,609930,877050,1486980
2019-06-21,Big Street ATM,112,743580,1056600,1800180
2019-06-22,Big Street ATM,114,1039230,963000,2002230
2019-06-23,Big Street ATM,116,818100,1071000,1889100
2019-06-24,Big Street ATM,90,515560,790200,1305760
2019-06-25,Big Street ATM,62,285930,541800,827730
2019-06-26,Big Street ATM,119,539060,1130850,1669910
2019-06-27,Big Street ATM,92,738320,774900,1513220
2019-06-28,Big Street ATM,66,621680,471150,1092830
2019-06-29,Big Street ATM,96,748840,960300,1709140
2019-06-30,Big Street ATM,27,250290,189000,439290
2019-07-01,Big Street ATM,42,416740,460800,877540
2019-07-02,Big Street ATM,75,292000,958500,1250500
2019-07-03,Big Street ATM,126,694170,1515150,2209320
2019-07-04,Big Street ATM,92,826270,1250240,2076510
2019-07-05,Big Street ATM,60,311210,448000,759210
2019-07-06,Big Street ATM,102,507750,823100,1330850
2019-07-07,Big Street ATM,79,379740,945470,1325210
2019-07-08,Big Street ATM,49,499240,544320,1043560
2019-07-09,Big Street ATM,138,601300,1232280,1833580
2019-07-10,Big Street ATM,142,630180,1558800,2188980
2019-07-11,Big Street ATM,117,915700,1133100,2048800
2019-07-12,Big Street ATM,127,1248590,1088420,2337010
2019-07-13,Big Street ATM,78,184680,1004400,1189080
2019-07-14,Big Street ATM,134,1350270,823050,2173320
2019-07-15,Big Street ATM,133,646780,1195650,1842430
2019-07-16,Big Street ATM,67,239760,821700,1061460
2019-07-17,Big Street ATM,8,19040,126000,145040
2019-07-18,Big Street ATM,81,476280,890100,1366380
2019-07-19,Big Street ATM,90,654080,724500,1378580
2019-07-20,Big Street ATM,100,597780,810900,1408680
2019-07-21,Big Street ATM,47,262040,219600,481640
2019-07-22,Big Street ATM,68,361660,508500,870160
2019-07-23,Big Street ATM,24,83840,94950,178790
2019-07-24,Big Street ATM,111,627340,620100,1247440
2019-07-25,Big Street ATM,149,815260,1117800,1933060
2019-07-26,Big Street ATM,118,829440,881100,1710540
2019-07-27,Big Street ATM,109,747220,616050,1363270
2019-07-28,Big Street ATM,78,415530,496350,911880
2019-07-29,Big Street ATM,67,268920,588150,857070
2019-07-30,Big Street ATM,46,145400,705150,850550
2019-07-31,Big Street ATM,107,300510,1136700,1437210
2019-08-01,Big Street ATM,119,692550,1156950,1849500
2019-08-02,Big Street ATM,147,684860,1771200,2456060
2019-08-03,Big Street ATM,106,629780,1297350,1927130
2019-08-04,Big Street ATM,63,207940,851920,1059860
2019-08-05,Big Street ATM,109,758630,1485400,2244030
2019-08-06,Big Street ATM,169,668910,2126250,2795160
2019-08-07,Big Street ATM,145,377620,1708560,2086180
2019-08-08,Big Street ATM,125,708040,1541300,2249340
2019-08-09,Big Street ATM,99,1128180,1195420,2323600
2019-08-10,Big Street ATM,71,590080,692550,1282630
2019-08-11,Big Street ATM,69,579560,618300,1197860
2019-08-12,Big Street ATM,98,807410,886980,1694390
2019-08-13,Big Street ATM,138,448740,1452150,1900890
2019-08-14,Big Street ATM,133,670680,1124550,1795230
2019-08-15,Big Street ATM,150,221540,1480500,1702040
2019-08-16,Big Street ATM,126,658120,1415250,2073370
